25.36,-8694,-657,0,1
29.062,-966,-1434,0,1
24.48,-6151,-2057,0,2
26.241,0,-2742,0,1
25.61,2934,0,0,1
26.328,7363,0,0,1
27.224,10201,0,0,1
26.547,14261,0,0,1
26.908,17688,0,0,1
28.788,17688,0,0,1
26.457,8694,0,0,2
26.975,11984,0,0,1
25.901,3957,0,0,2
26.903,7363,0,0,1
25.89,0,-657,0,2
26.217,3957,0,0,1
25.36,-966,-657,0,2
25.667,3957,0,0,1
25.36,-966,-657,0,2
25.667,3957,0,0,1
26.903,7363,0,0,1
25.89,0,-657,0,2
26.217,3957,0,0,3
26.903,7363,0,0,1
25.89,0,-657,0,2
29.062,-5024,-1434,0,2
24.276,-8694,-2057,0,2
26.241,-966,-2742,0,1
25.624,1940,0,0,1
26.449,6151,0,0,1
25.36,0,-657,0,2
26.217,3957,0,0,1
26.903,7363,0,0,1
27.224,10201,0,0,3
26.031,1940,0,0,2
25.36,-2934,-657,0,2
25.691,1940,0,0,1
25.36,-2934,-657,0,2
29.062,-7363,-1434,0,2
24.99,0,-2057,0,1
26.241,-5024,-2742,0,2
23.409,-11984,0,0,4
25.36,-14261,-657,0,2
29.062,-6151,-1434,0,1
24.276,-10201,-2057,0,2
26.241,-2934,-2742,0,1
26.771,0,-2057,0,1
26.241,-5024,-2742,0,2
26.267,0,-3252,0,1
25.885,1940,0,0,1
26.449,6151,0,0,1
26.546,10201,0,0,1
26.031,1940,0,0,2
26.449,6151,0,0,1
26.546,10201,0,0,1
26.031,1940,0,0,2
26.449,6151,0,0,1
25.36,0,-657,0,2
26.217,3957,0,0,1
25.36,-966,-657,0,2
29.062,-6151,-1434,0,2
25.69,0,-2057,0,1
26.001,2934,0,0,1
25.36,-1940,-657,0,2
25.693,2934,0,0,1
26.328,7363,0,0,1
25.89,0,-657,0,2
29.062,-5024,-1434,0,2
24.276,-8694,-2057,0,2
26.241,-11984,-2742,0,2
29.392,-14261,-3530,0,2
24.243,-17688,-4152,0,2
28.579,-8694,-4913,0,1
24.666,-966,-5380,0,1
23.804,-5024,-5946,0,2
25.977,0,-5946,0,1
26.62,0,-2057,0,1
26.241,-5024,-2742,0,2
26.267,0,-3252,0,1
24.382,-5024,-3828,0,2
26.147,-8694,-4510,0,2
31.809,-11984,-5380,0,2
22.524,-14261,-5946,0,2
27.971,-17688,-6687,0,2
39.489,-8694,-7835,0,1
24.392,-966,-7835,0,1
24.112,-6151,-7835,0,2
25.331,0,-7835,0,1
24.895,-966,0,0,3
25.36,-6151,-657,0,2
29.062,-10201,-1434,0,2
24.424,-1940,-2057,0,1
26.241,-6151,-2742,0,2
29.392,0,-3530,0,1
24.409,-5024,-4152,0,2
25.977,0,-4152,0,1
25.369,1940,0,0,1
25.36,-2934,-657,0,2
29.062,-7363,-1434,0,2
24.99,0,-2057,0,1
26.241,-5024,-2742,0,2
26.267,0,-3252,0,1
